Provinsi,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit Bersalin,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Poliklinik,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas Pembantu,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Apotek
Aceh,66,4,336,363,898,539
Sumatera Utara,176,10,844,624,1811,867
Sumatera Barat,64,7,169,280,713,370
Riau,66,1,302,244,996,478
Jambi,39,–,75,208,581,307
Sumatera Selatan,73,7,246,348,809,400
Bengkulu,24,–,60,181,388,210
Lampung,61,14,411,323,859,670
Kepulauan Bangka Belitung,23,3,54,66,147,134
Kepulauan Riau,26,3,71,96,225,97
DKI Jakarta,121,22,236,52,234,255
Jawa Barat,346,42,1923,1110,1547,2589
Jawa Tengah,317,–,1295,888,1697,2903
DI Yogyakarta,66,1,158,122,229,254
Jawa Timur,341,65,1327,984,2218,2628
Banten,106,6,537,252,220,526
Bali,59,4,141,120,480,308
Nusa Tenggara Barat,42,–,103,178,550,433
Nusa Tenggara Timur,65,–,119,442,1050,296
Kalimantan Barat,45,5,106,248,776,222
Kalimantan Tengah,27,1,96,211,1096,137
Kalimantan Selatan,42,–,137,243,406,266
Kalimantan Timur,46,2,161,185,741,269
Kalimantan Utara,15,–,26,60,221,68
Sulawesi Utara,54,2,64,208,420,258
Sulawesi Tengah,36,5,60,221,659,316
Sulawesi Selatan,101,22,239,475,1324,794
Sulawesi Tenggara,33,3,46,309,417,344
Gorontalo,19,1,79,95,211,117
Sulawesi Barat,12,–,18,100,344,98
Maluku,31,–,35,237,463,93
Maluku Utara,23,–,21,153,287,121
Papua Barat,11,–,13,91,214,53
Papua Barat Daya,12,–,15,104,202,58
Papua,17,–,21,125,310,79
Papua Selatan,9,–,16,88,246,26
Papua Tengah,14,–,24,98,148,45
Papua Pegunungan,9,–,12,148,246,8
Indonesia,2637,230,9596,10280,24383,17636
,,,,,,
Catatan,,,,,,
1Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ Villages in this table include Transmigration Settlement Unit which is still fostered by the relevant ministries and the nagari in the Province of Sumatera Barat ,,,,,,