38 Provinsi,
,Rata-Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas Menurut Provinsi
,2024
ACEH,9.95
SUMATERA UTARA,10.18
SUMATERA BARAT,9.72
RIAU,9.69
JAMBI,9.26
SUMATERA SELATAN,8.98
BENGKULU,9.4
LAMPUNG,8.8
KEP. BANGKA BELITUNG,8.78
KEP. RIAU,10.65
DKI JAKARTA,11.49
JAWA BARAT,9.24
JAWA TENGAH,8.47
DI YOGYAKARTA,10.23
JAWA TIMUR,8.69
BANTEN,9.55
BALI,9.87
NUSA TENGGARA BARAT,8.5
NUSA TENGGARA TIMUR,8.48
KALIMANTAN BARAT,8.28
KALIMANTAN TENGAH,9.17
KALIMANTAN SELATAN,9.02
KALIMANTAN TIMUR,10.22
KALIMANTAN UTARA,9.58
SULAWESI UTARA,10.02
SULAWESI TENGAH,9.28
SULAWESI SELATAN,9.22
SULAWESI TENGGARA,9.74
GORONTALO,8.64
SULAWESI BARAT,8.56
MALUKU,10.44
MALUKU UTARA,9.7
PAPUA BARAT,9.87
PAPUA BARAT DAYA,10.48
PAPUA,10.7
PAPUA SELATAN,8.99
PAPUA TENGAH,6.17
PAPUA PEGUNUNGAN,5.1
INDONESIA,9.22